LOCATION,Year,Education Value,GDP Value,LifeExp Value,Population Value,PopulationDensityAsOf1July(PersonsPerSquareKm),TotalFertilityRate(LiveBirthsPerWoman),InfantMortalityRate(InfantDeathsPer1000LiveBirths)
Iceland,1985,,12361.197,77.154,241409,2.4,1.94,7.9
Iceland,1986,,16406.0646,77.306,243187,2.4,1.93,5
Iceland,1987,,22453.1979,77.458,245864,2.5,2.06,8.4
Iceland,1988,,24451.9828,77.61,249734,2.5,2.24,8.4
Iceland,1989,,22434.35,77.794,252851,2.5,2.2,6.2
Iceland,1990,,25384.9259,77.978,254820,2.5,2.29,6.6
Iceland,1991,,26802.9706,78.162,257795,2.6,2.19,7
Iceland,1992,,27124.2588,78.346,261053,2.6,2.21,6.3
Iceland,1993,,23579.8018,78.53,263730,2.6,2.22,5.8
Iceland,1994,,24018.6388,78.642,266021,2.7,2.14,4.7
Iceland,1995,,26633.6051,78.754,267467,2.7,2.08,6
Iceland,1996,,27614.877,78.866,268918,2.7,2.12,4.7
Iceland,1997,,27919.1891,78.978,271130,2.7,2.04,5.4
Iceland,1998,,31030.039,79.09,274049,2.7,2.04,3.7
Iceland,1999,,32381.6282,79.41,277384,2.8,2,3.8
Iceland,2000,,32096.3723,79.73,281200,2.8,2.07,3.8
Iceland,2001,,28897.443,80.05,284970,2.8,1.96,3.3
Iceland,2002,,32409.2279,80.37,287516,2.9,1.94,2.8
Iceland,2003,,39476.7069,80.69,289522,2.9,1.99,2.8
Iceland,2004,,47334.9531,80.83,292077,2.9,2.04,2.9
Iceland,2005,,56794.8802,80.97,296734,3,2.05,3
Iceland,2006,,57492.9342,81.11,303784,3,2.08,2.6
Iceland,2007,,69495.7267,81.25,311567,3.1,2.09,2.1
Iceland,2008,,56943.3597,81.39,317404,3.2,2.16,2.9
Iceland,2009,,41301.2794,81.55,318501,3.2,2.23,2.2
Iceland,2010,,43237.0729,81.71,318044,3.2,2.19,2.1
Iceland,2011,,47714.5922,81.87,319011,3.2,2.03,1.1
Iceland,2012,,45995.5479,82.03,320723,3.2,2.04,2.1
Iceland,2013,,49804.983,82.19,323763,3.2,1.94,2.5
Iceland,2014,,54576.7448,82.306,327379,3.3,1.93,2
Iceland,2015,,52951.6815,82.422,330818,3.3,1.81,2
Iceland,2016,,61987.9264,82.538,335435,3.3,1.75,1.2
Iceland,2017,,72010.149,82.654,343399,3.4,1.71,2.7
Iceland,2018,,74452.1891,82.77,352722,3.5,1.71,1.7
Iceland,2019,,68403.1448,82.92,360558,3.6,1.75,1.3
Iceland,2020,,58813.797,83.07,366462,3.7,1.75,1.2
Iceland,2021,,68594.0081,83.22,372523,3.7,1.73,1
Iceland,2022,,72902.98,83.37,382005,3.7,1.73,1
Ireland,1950,,,65.524,2969000,42.5,3.45,44.3
Ireland,1951,,,65.976,2960600,42.8,3.49,44.4
Ireland,1952,,,66.428,2952900,42.8,3.51,41.7
Ireland,1953,,,66.88,2949000,42.7,3.5,38.6
Ireland,1954,,,67.332,2941200,42.5,3.46,37.6
Ireland,1955,,,67.784,2920900,42.2,3.4,36.3
Ireland,1956,,,68.236,2898500,42,3.41,35.2
Ireland,1957,,,68.688,2885300,41.8,3.51,33
Ireland,1958,,,69.14,2852700,41.5,3.52,34.6
Ireland,1959,,,69.336,2845600,41.3,3.64,31.8
Ireland,1960,,685.6147,69.532,2832100,41.1,3.78,28.7
Ireland,1961,,739.2764,69.728,2818300,41.1,3.79,29.4
Ireland,1962,,797.0063,69.924,2830100,41.1,3.92,29.1
Ireland,1963,,852.1353,70.12,2850000,41.3,4.02,26.6
Ireland,1964,,965.1354,70.246,2863800,41.5,4.07,26.6
Ireland,1965,,1023.7737,70.372,2875800,41.7,4.04,24.7
Ireland,1966,,1074.5065,70.498,2884000,41.9,3.94,24.2
Ireland,1967,,1152.005,70.624,2899700,42.2,3.84,23.9
Ireland,1968,,1124.5166,70.75,2912200,42.4,3.77,20.8
Ireland,1969,,1291.3499,70.844,2925200,42.7,3.83,20.6
Ireland,1970,,1486.5145,70.938,2949900,43,3.85,19.4
Ireland,1971,,1703.9322,71.032,2978200,43.4,3.93,18.3
Ireland,1972,,2080.4651,71.126,3024400,44.1,3.83,18.1
Ireland,1973,,2424.269,71.22,3073000,44.8,3.71,17.9
Ireland,1974,,2516.9277,71.376,3123900,45.5,3.58,17.7
Ireland,1975,,2973.4001,71.532,3177200,46.2,3.37,17.2
Ireland,1976,,2919.5831,71.688,3227800,46.9,3.29,15.5
Ireland,1977,,3427.0734,71.844,3271900,47.6,3.24,15.6
Ireland,1978,,4399.9868,72,3314000,48.4,3.21,14.8
Ireland,1979,,5429.962,72.236,3368200,49,3.22,12.9
Ireland,1980,,6372.4378,72.472,3401000,49.6,3.2,11.1
Ireland,1981,,5986.1541,72.708,3443400,50.1,3.06,10.2
Ireland,1982,,6160.6383,72.944,3480000,50.5,2.94,10.4
Ireland,1983,,5915.2418,73.18,3504000,50.8,2.74,9.8
Ireland,1984,,5692.0274,73.388,3529000,51.1,2.59,9.5
Ireland,1985,,6011.7355,73.596,3540000,51.3,2.48,8.7
Ireland,1986,,8112.1714,73.804,3540600,51.4,2.44,8.9
Ireland,1987,,9581.9131,74.012,3546500,51.4,2.32,7.8
Ireland,1988,,10715.8703,74.22,3530700,51.2,2.17,8.5
Ireland,1989,,11175.8166,74.446,3509500,51,2.08,7.9
Ireland,1990,,14031.3026,74.672,3505800,51,2.11,8.2
Ireland,1991,,14087.2074,74.898,3525700,51.3,2.08,7.5
Ireland,1992,,15714.3847,75.124,3554500,51.6,1.99,6.3
Ireland,1993,,14657.0616,75.35,3574100,51.9,1.9,6
Ireland,1994,,15902.9297,75.488,3585900,52.1,1.85,5.7
Ireland,1995,,19158.4565,75.626,3601300,52.4,1.85,6.3
Ireland,1996,,20835.8977,75.764,3626087,52.8,1.88,6.2
Ireland,1997,,22551.1139,75.902,3664313,53.2,1.93,6.2
Ireland,1998,,24294.8548,76.04,3703082,53.8,1.94,6
Ireland,1999,,26338.1078,76.4,3741647,54.4,1.9,5.9
Ireland,2000,,26334.5672,76.76,3789536,55.1,1.89,6.2
Ireland,2001,,28282.4099,77.12,3847198,56,1.94,6
Ireland,2002,,32705.4346,77.48,3917203,57,1.97,5.4
Ireland,2003,,41203.5296,77.84,3979853,57.9,1.96,5.4
Ireland,2004,,47754.2023,78.208,4045188,59,1.93,4.7
Ireland,2005,,50933.0216,78.576,4133839,60.3,1.87,3.9
Ireland,2006,,54329.1619,78.944,4232929,61.9,1.91,4.1
Ireland,2007,,61396.4175,79.312,4375842,63.8,2,3.4
Ireland,2008,,61353.1066,79.68,4485070,65.1,2.06,3.9
Ireland,2009,,52133.0906,79.866,4533395,65.8,2.06,3.3
Ireland,2010,,48663.6004,80.052,4554763,66.2,2.06,3.7
Ireland,2011,,52183.1329,80.238,4574888,66.5,2.03,3.6
Ireland,2012,,49054.6974,80.424,4593697,66.8,1.99,3.3
Ireland,2013,,51546.3548,80.61,4614669,67.1,1.94,3.6
Ireland,2014,,55643.0594,80.898,4645440,67.6,1.9,3.4
Ireland,2015,,62053.9844,81.186,4687787,68.2,1.86,3.5
Ireland,2016,,62895.9111,81.474,4739597,69,1.81,3.1
Ireland,2017,,69970.9489,81.762,4792490,69.8,1.77,2.8
Ireland,2018,,79250.3879,82.05,4857015,70.7,1.81,2.7
Ireland,2019,,80927.0747,82.202,4921496,71.6,1.78,2.6
Ireland,2020,,85420.1909,82.354,4977443,72.3,1.77,2.6
Ireland,2021,,100172.0793,82.506,5011460,72.9,1.77,2.5
Ireland,2022,,104038.9461,82.658,5100229,72.9,1.77,2.5
Italy,1950,,,65.368,47104001,156.7,2.53,63.6
Italy,1951,,,65.752,47407195,158,2.38,64.2
Italy,1952,,,66.136,47665530,158.9,2.31,62.8
Italy,1953,,,66.52,47957348,160.2,2.27,57.8
Italy,1954,,,66.904,48299578,161.6,2.33,54
Italy,1955,,,67.288,48632556,162.6,2.32,50.5
Italy,1956,,,67.672,48921093,163.5,2.32,48.6
Italy,1957,,,68.056,49183204,164.4,2.33,50.3
Italy,1958,,,68.44,49476429,165.3,2.31,47.9
Italy,1959,,,68.69,49832779,166.3,2.38,46.1
Italy,1960,,1608,68.94,50199634,167.3,2.38,43.8
Italy,1961,,1774,69.19,50536309,168.3,2.42,41.6
Italy,1962,,1980,69.44,50879432,169.5,2.45,42.2
Italy,1963,,2252,69.69,51251937,170.8,2.51,40.5
Italy,1964,,2446,69.94,51675294,172.3,2.65,37
Italy,1965,,2608,70.19,52112336,173.8,2.6,35.3
Italy,1966,,2804,70.44,52518925,175.3,2.58,34.4
Italy,1967,,3068,70.69,52900443,176.7,2.5,32.7
Italy,1968,,3304,70.94,53235691,177.9,2.49,32.2
Italy,1969,,3626,71.196,53537796,179.1,2.47,31
Italy,1970,,3632.282231,71.452,53821798,180.2,2.39,29.1
Italy,1971,,3867.714697,71.708,54073525,181.2,2.4,28.8
Italy,1972,,4160.133212,71.964,54381345,182.4,2.35,26.9
Italy,1973,,4669.018287,72.22,54751405,183.7,2.31,25.9
Italy,1974,,5334.056969,72.486,55110870,185,2.29,22.9
Italy,1975,,5672.336805,72.752,55440999,186.1,2.17,20.5
Italy,1976,,6379.020487,73.018,55718266,187.1,2.04,18.9
Italy,1977,,6919.411656,73.284,55955407,188,1.94,17.6
Italy,1978,,7618.888337,73.55,56155142,188.8,1.84,16.7
Italy,1979,,8717.441657,73.816,56317750,189.4,1.73,15.2
Italy,1980,,9810.672065,74.082,56433876,190.3,1.64,14.3
Italy,1981,,10814.99217,74.348,56501674,191,1.58,14
Italy,1982,,11523.89356,74.614,56543539,191.2,1.56,13
Italy,1983,,12110.86298,74.88,56564076,191.3,1.51,11.9
Italy,1984,,12949.67567,75.18,56576719,191.3,1.46,11.1
Italy,1985,,13729.02424,75.48,56593070,191.4,1.42,10.2
Italy,1986,,14405.27789,75.78,56596157,191.4,1.35,9.9
Italy,1987,,15231.14021,76.08,56601936,191.4,1.33,9.7
Italy,1988,,16421.84351,76.38,56629290,191.5,1.36,9.3
Italy,1989,6.7387791,17630.65437,76.598,56671778,191.6,1.33,8.6
Italy,1990,,18638.24989,76.816,56719239,191.8,1.33,8.1
Italy,1991,6.5751195,19545.58643,77.034,56758522,191.9,1.31,8.4
Italy,1992,6.7680349,20150.12707,77.252,56797078,192,1.3,8.2
Italy,1993,,20439.35129,77.47,56831823,192.1,1.25,6.9
Italy,1994,7.898859,21320.51011,77.736,56843400,192.2,1.22,6.4
Italy,1995,8.2170544,22395.61994,78.002,56844301,192.2,1.19,6.2
Italy,1996,,23058.96764,78.268,56860279,192.2,1.2,6.1
Italy,1997,,23875.77083,78.534,56890371,192.3,1.21,5.5
Italy,1998,8.9524889,25021.68091,78.8,56906744,192.4,1.21,5.4
Italy,1999,9.9974318,25602.38648,79.098,56916316,192.4,1.24,5.1
Italy,2000,10.429003,27077.6477,79.396,56942108,192.5,1.25,4.5
Italy,2001,11.754972,28036.30276,79.694,56976976,192.6,1.25,4.6
Italy,2002,12.461238,28721.07628,79.992,57089823,192.9,1.27,4.4
Italy,2003,12.695857,29154.66384,80.29,57399187,194,1.29,3.7
Italy,2004,14.792785,29481.85369,80.534,57828178,195.5,1.34,3.8
Italy,2005,16.105026,30028.48898,80.778,58166684,196.6,1.34,3.6
Italy,2006,17.283623,32309.29422,81.022,58399863,197.4,1.37,3.5
Italy,2007,18.863468,33960.78871,81.266,58756247,198.6,1.4,3.3
Italy,2008,19.90484,35292.60186,81.51,59211183,200.1,1.44,3.3
Italy,2009,20.160688,34335.92538,81.68,59555456,201.2,1.45,3.4
Italy,2010,20.719744,34838.13577,81.85,59819402,202.1,1.45,3.2
Italy,2011,20.983423,36203.32852,82.02,60026844,202.8,1.43,3.1
Italy,2012,22.250719,36091.37396,82.19,60191243,203.4,1.42,3
Italy,2013,22.744907,36267.92535,82.36,60311616,203.8,1.38,2.9
Italy,2014,24.158854,36475.97606,82.544,60320708,203.8,1.37,2.8
Italy,2015,25.149963,37206.33182,82.728,60229599,203.5,1.35,2.9
Italy,2016,25.584146,40267.22262,82.912,60115220,203.1,1.34,2.8
Italy,2017,26.816479,41951.46633,83.096,60002254,202.7,1.32,2.9
Italy,2018,27.863623,43427.66314,83.28,59877216,202.3,1.29,2.8
Italy,2019,27.931559,45799.74192,83.424,59729077,201.8,1.27,2.4
Italy,2020,28.628069,43150.11598,83.568,59438845,201,1.26,2.3
Italy,2021,28.267422,47591.83214,83.712,59133173,200.2,1.28,2.3
Italy,2022,29.203739,52802.95609,83.856,58940424,200.2,1.28,2.3
Japan,1950,,,60.64,84109139,223.9,3.66,56
Japan,1951,,,61.36,85475000,227.4,3.25,53.5
Japan,1952,,,62.08,86765900,230.7,2.96,47.5
Japan,1953,,,62.8,87955300,233.7,2.68,46.8
Japan,1954,,,63.52,89026700,236.4,2.48,43.4
Japan,1955,,,64.24,90076594,239.1,2.38,39
Japan,1956,,,64.96,90992000,241.5,2.23,39.6
Japan,1957,,,65.68,91763000,243.7,2.06,38.3
Japan,1958,,,66.4,92621000,245.9,2.12,35.3
Japan,1959,,,66.952,93514000,248.3,2.06,32.9
Japan,1960,,,67.504,94301623,250.7,2.02,30.5
Japan,1961,,,68.056,95181000,253.1,1.99,28.4
Japan,1962,,,68.608,96087000,255.5,2,26.4
Japan,1963,,,69.16,97075000,258.1,2.03,23.3
Japan,1964,,,69.61,98110000,260.9,2.07,20.9
Japan,1965,,,70.06,99209137,264,2.14,19.4
Japan,1966,,,70.51,99978000,266.6,1.63,16.8
Japan,1967,,,70.96,101145000,269.4,2.17,16.9
Japan,1968,,,71.41,102287000,272.9,2.09,15.4
Japan,1969,,,71.784,103491000,276.3,2.07,14.2
Japan,1970,,3348.832992,72.158,104665171,279.8,2.09,13.5
Japan,1971,,3647.705468,72.532,106100000,283.4,2.1,12.8
Japan,1972,,4069.992935,72.906,107595000,287.2,2.11,11.8
Japan,1973,,4532.01302,73.28,109104000,291.1,2.13,11.4
Japan,1974,,4812.870739,73.704,110573000,294.8,2.06,10.7
Japan,1975,,5355.131154,74.128,111939643,298.3,1.94,9.7
Japan,1976,,5809.31007,74.552,113094000,301.5,1.86,9.2
Japan,1977,,6378.376732,74.976,114165000,304.5,1.81,8.8
Japan,1978,,7121.897178,75.4,115190000,307.3,1.79,8.3
Japan,1979,,8068.34118,75.722,116155000,309.9,1.76,7.8
Japan,1980,,8973.783444,76.044,117060396,312.1,1.75,7.3
Japan,1981,,10168.27325,76.366,117902000,314.2,1.7,7
Japan,1982,,11073.01818,76.688,118728000,316.1,1.72,6.6
Japan,1983,,11843.83871,77.01,119536000,317.9,1.75,6.2
Japan,1984,,12730.49637,77.314,120305000,319.7,1.76,6
Japan,1985,,13725.84924,77.618,121048923,321.4,1.74,5.4
Japan,1986,,14390.87736,77.922,121660000,323,1.68,5.2
Japan,1987,,15359.19472,78.226,122239000,324.5,1.69,4.9
Japan,1988,,16890.32731,78.53,122745000,325.9,1.66,4.8
Japan,1989,,18348.32229,78.708,123205000,327.1,1.57,4.5
Japan,1990,,19891.09158,78.886,123611167,328.2,1.53,4.6
Japan,1991,,21204.241,79.064,124101000,329.3,1.53,4.5
Japan,1992,,21800.91847,79.242,124567000,330.2,1.5,4.5
Japan,1993,,22149.2197,79.42,124938000,331.1,1.46,4.3
Japan,1994,,22834.75171,79.638,125265000,332,1.49,4.4
Japan,1995,,23865.91364,79.856,125570246,332.9,1.42,4.2
Japan,1996,,25009.68209,80.074,125864000,333.6,1.43,3.8
Japan,1997,45.744064,25629.42066,80.292,126166000,334.4,1.39,3.7
Japan,1998,46.062992,25520.19654,80.51,126486000,335.2,1.38,3.7
Japan,1999,45.76923,25744.91658,80.768,126686000,335.8,1.34,3.4
Japan,2000,47.844826,27289.85193,81.026,126925843,336.5,1.37,3.3
Japan,2001,48.525471,27946.08314,81.284,127291000,337.2,1.33,3.1
Japan,2002,50.993023,28633.69892,81.542,127435000,337.8,1.32,3
Japan,2003,51.645981,29411.59288,81.8,127619000,338.4,1.29,3
Japan,2004,52.640175,30837.17542,81.97,127687000,338.8,1.29,2.8
Japan,2005,53.185596,32174.40011,82.14,127767994,339.1,1.27,2.8
Japan,2006,54.074074,33638.84126,82.31,127900515,339.4,1.32,2.7
Japan,2007,53.696037,35021.73222,82.48,128032743,339.7,1.34,2.6
Japan,2008,55.060974,35278.74985,82.65,128083960,339.9,1.37,2.6
Japan,2009,55.667507,33550.68955,82.784,128031514,340,1.37,2.4
Japan,2010,56.70573,35342.82472,82.918,128057352,340,1.39,2.3
Japan,2011,58.721333,36215.00627,83.052,127834233,339.7,1.39,2.4
Japan,2012,58.554874,37628.67599,83.186,127592657,339.3,1.41,2.2
Japan,2013,58.368496,39436.68259,83.32,127413888,338.8,1.43,2.1
Japan,2014,58.585857,39559.76347,83.542,127237150,338.3,1.42,2.1
Japan,2015,59.646538,40908.78155,83.764,127094745,337.7,1.44,2
Japan,2016,60.120392,40642.70453,83.986,127041812,337,1.43,2
Japan,2017,60.426178,41531.22162,84.208,126918546,336.1,1.35,1.8
Japan,2018,60.730949,42264.58512,84.43,126748506,335.1,1.33,1.9
Japan,2019,61.514194,42427.12508,84.55,126555078,333.8,1.29,1.9
Japan,2020,63.54916,41867.15339,84.67,126146099,332.4,1.29,1.8
Japan,2021,64.814812,42895.14654,84.79,125502290,330.7,1.3,1.8
Japan,2022,65.682365,45637.64272,84.91,124946789,330.7,1.3,1.8
Republic of Korea,1950,,,35.366,20104013,203.2,5.97,232.4
Republic of Korea,1951,,,37.554,20116893,203.3,5.96,200.9
Republic of Korea,1952,,,39.742,20393370,206.1,5.94,174.3
Republic of Korea,1953,,,41.93,20862395,210.9,6.03,152.2
Republic of Korea,1954,,,44.118,21432886,216.6,6.07,134.2
Republic of Korea,1955,,,46.306,22075008,223.1,6.11,119.7
Republic of Korea,1956,,,48.494,22763455,230.1,6.15,108.2
Republic of Korea,1957,,,50.682,23494051,237.5,6.19,99.5
Republic of Korea,1958,,,52.87,24256851,245.2,6.16,92.5
Republic of Korea,1959,,,53.548,25036099,253,6.07,87.2
Republic of Korea,1960,,,54.226,25012374,260.9,5.95,82.9
Republic of Korea,1961,,,54.904,25765673,268.4,5.81,79.4
Republic of Korea,1962,,,55.582,26513030,275.3,5.62,76
Republic of Korea,1963,,,56.26,27261747,282,5.41,72.8
Republic of Korea,1964,,,56.866,27984155,288.6,5.19,69.5
Republic of Korea,1965,,,57.472,28704674,294.9,5,66.2
Republic of Korea,1966,,,58.078,29435571,301.6,4.81,62.6
Republic of Korea,1967,,,58.684,30130983,308.7,4.63,58.9
Republic of Korea,1968,,,59.29,30838302,315.6,4.49,55.2
Republic of Korea,1969,,,60.052,31544266,322.5,4.47,51.8
Republic of Korea,1970,,600.506995,60.814,32240827,329.5,4.41,48.3
Republic of Korea,1971,,683.866885,61.576,32882704,336.4,4.25,45.3
Republic of Korea,1972,,750.698124,62.338,33505406,343.4,4.07,43
Republic of Korea,1973,,893.852097,63.1,34103149,350.3,3.89,40.6
Republic of Korea,1974,,1048.844987,63.48,34692266,357,3.68,38.8
Republic of Korea,1975,,1215.208903,63.86,35280725,363.1,3.41,37.2
Republic of Korea,1976,,1428.597512,64.24,35848523,368.5,3.18,35.8
Republic of Korea,1977,,1678.187382,64.62,36411795,373.1,3,34.5
Republic of Korea,1978,,1962.941483,65,36969185,377.3,2.78,33
Republic of Korea,1979,,2275.356423,65.476,37534236,381.4,2.74,31.4
Republic of Korea,1980,,2402.301405,65.952,38123775,385.8,2.72,29.8
Republic of Korea,1981,,2776.532293,66.428,38723248,391.5,2.63,28.1
Republic of Korea,1982,,3144.913567,66.904,39326352,398.2,2.44,26.2
Republic of Korea,1983,,3651.020351,67.38,39910403,404.8,2.17,24.4
Republic of Korea,1984,,4130.54515,67.972,40405956,411,1.93,22.6
Republic of Korea,1985,,4550.154481,68.564,40805744,416.7,1.75,20.7
Republic of Korea,1986,,5116.42119,69.156,41213674,422.6,1.66,19
Republic of Korea,1987,,5852.103004,69.748,41621690,428.6,1.6,17.4
Republic of Korea,1988,,6718.788433,70.34,42031247,434.5,1.57,15.9
Republic of Korea,1989,,7402.41363,70.84,42449038,440.3,1.58,14.6
Republic of Korea,1990,,8355.387935,71.34,42869283,445.9,1.6,13.4
Republic of Korea,1991,,9474.577826,71.84,43295704,449.6,1.67,12.4
Republic of Korea,1992,,10184.84682,72.34,43747962,451.8,1.7,11.4
Republic of Korea,1993,,11030.61911,72.84,44194628,454.1,1.67,10.5
Republic of Korea,1994,,12187.12939,73.262,44641540,456.5,1.65,9.8
Republic of Korea,1995,28.806385,13502.58004,73.684,45092991,458.8,1.63,9
Republic of Korea,1996,,14693.99328,74.106,45524681,461.5,1.58,8.4
Republic of Korea,1997,30.871248,15721.56197,74.528,45953580,464.5,1.55,7.8
Republic of Korea,1998,33.83152,14974.49879,74.95,46286503,467.4,1.49,7.4
Republic of Korea,1999,34.837105,16807.01302,75.394,46616677,470.2,1.45,6.9
Republic of Korea,2000,36.81242,18538.87931,75.838,47008111,472.9,1.42,6.5
Republic of Korea,2001,38.955528,19724.49424,76.282,47370164,475.7,1.3,6.1
Republic of Korea,2002,41.017273,21396.71919,76.726,47644736,478.3,1.2,5.8
Republic of Korea,2003,46.514172,22096.02308,77.17,47892330,480.5,1.17,5.5
Republic of Korea,2004,49.056168,23773.59083,77.63,48082519,482.4,1.14,5.1
Republic of Korea,2005,50.858059,25186.6381,78.09,48184561,484,1.1,4.7
Republic of Korea,2006,52.953865,26884.4294,78.55,48438292,485.6,1.13,4.4
Republic of Korea,2007,55.490356,29064.70197,79.01,48683638,487.4,1.19,4.1
Republic of Korea,2008,57.842369,29945.89922,79.47,49054708,489.2,1.18,3.8
Republic of Korea,2009,60.575958,29508.28276,79.83,49307835,491.1,1.17,3.6
Republic of Korea,2010,61.449047,31736.70016,80.19,49554112,493.3,1.22,3.5
Republic of Korea,2011,63.734528,32546.51773,80.55,49936638,497,1.25,3.3
Republic of Korea,2012,65.603264,33557.03045,80.91,50199853,501.6,1.26,3.2
Republic of Korea,2013,67.088554,34244.23949,81.27,50428893,506.3,1.21,3.1
Republic of Korea,2014,67.665947,35324.2603,81.57,50746659,511,1.2,3
Republic of Korea,2015,68.861946,37902.36102,81.87,51014947,515.4,1.2,2.9
Republic of Korea,2016,69.851555,39575.30208,82.17,51217803,518.6,1.15,2.8
Republic of Korea,2017,69.752068,40957.34706,82.47,51361911,520.6,1.05,2.7
Republic of Korea,2018,69.574219,43044.34015,82.77,51585058,522.3,0.97,2.7
Republic of Korea,2019,69.802818,43410.15296,82.916,51764822,523.6,0.91,2.6
Republic of Korea,2020,69.812752,44694.9398,83.062,51836239,524,0.89,2.5
Republic of Korea,2021,69.288513,47068.42363,83.208,51744876,523.8,0.88,2.4
Republic of Korea,2022,69.580132,50330.65223,83.354,51628117,523.8,0.88,2.4
Luxembourg,1950,,,65.044,296585,114.5,1.97,35.8
Luxembourg,1951,,,65.356,298213,115.1,2.01,37.7
Luxembourg,1952,,,65.668,300058,115.9,2.17,34.9
Luxembourg,1953,,,65.98,301760,116.5,2.17,38.6
Luxembourg,1954,,,66.292,303512,117.2,2.23,33
Luxembourg,1955,,,66.604,305513,118,2.21,36
Luxembourg,1956,,,66.916,307258,118.6,2.16,34.8
Luxembourg,1957,,,67.228,308845,119.2,2.21,35.8
Luxembourg,1958,,,67.54,310587,119.9,2.22,30.6
Luxembourg,1959,,,67.856,312507,120.7,2.26,31.1
Luxembourg,1960,,2242.0158,68.172,314168,121.3,2.29,28.9
Luxembourg,1961,,2222.3664,68.488,316588,122.2,2.31,28.1
Luxembourg,1962,,2311.7988,68.804,319852,123.5,2.26,28.7
Luxembourg,1963,,2441.0386,69.12,323006,124.7,2.31,28.8
Luxembourg,1964,,2755.6331,69.252,326367,126,2.37,25.4
Luxembourg,1965,,2780.0927,69.384,329796,127.3,2.4,24.5
Luxembourg,1966,,2900.4332,69.516,333132,128.6,2.35,26.3
Luxembourg,1967,,2909.6606,69.648,335559,129.6,2.24,23.5
Luxembourg,1968,,3175.3674,69.78,337045,130.1,2.12,21.1
Luxembourg,1969,,3658.9007,69.874,338281,130.6,2.02,22.6
Luxembourg,1970,,4298.0339,69.968,339174,131,1.97,24.8
Luxembourg,1971,,4435.398,70.062,342415,132,1.95,23.9
Luxembourg,1972,,5486.7206,70.156,346600,133.6,1.75,20.5
Luxembourg,1973,,7447.213,70.25,350450,134.8,1.58,20.8
Luxembourg,1974,,8966.729,70.488,355049,135.7,1.58,20.7
Luxembourg,1975,,8701.3047,70.726,358951,136.6,1.55,19.2
Luxembourg,1976,,9490.6903,70.964,360728,137.4,1.49,20.2
Luxembourg,1977,,10486.3358,71.202,361356,138.3,1.5,16.3
Luxembourg,1978,,13034.3882,71.44,362010,139.4,1.48,15.5
Luxembourg,1979,,15204.3308,71.728,362856,140.1,1.48,15.1
Luxembourg,1980,,16531.1149,72.016,364152,140.4,1.5,14.3
Luxembourg,1981,,13837.13,72.304,365219,140.7,1.55,15.3
Luxembourg,1982,,12590.9768,72.592,365525,140.9,1.49,13.8
Luxembourg,1983,,12374.0304,72.88,365621,141.1,1.44,14.8
Luxembourg,1984,,12126.9392,73.204,365997,141.2,1.42,15.6
Luxembourg,1985,,12481.9658,73.528,366707,141.5,1.39,12.7
Luxembourg,1986,,18149.8693,73.852,368354,142.2,1.43,10.7
Luxembourg,1987,,22443.4315,74.176,370751,143.1,1.41,11
Luxembourg,1988,,25219.3543,74.5,373450,144.2,1.52,10.2
Luxembourg,1989,,26618.0696,74.754,377095,145.5,1.53,11.1
Luxembourg,1990,,33465.4782,75.008,381857,147.2,1.6,9.1
Luxembourg,1991,,35747.3378,75.262,386999,149.2,1.62,10.1
Luxembourg,1992,,39570.8616,75.516,392171,151.2,1.65,9.2
Luxembourg,1993,,40066.7243,75.77,397481,153.2,1.7,7.9
Luxembourg,1994,,43933.2354,76.014,402921,155.2,1.72,7.7
Luxembourg,1995,,51032.3496,76.258,408625,157.4,1.71,6.5
Luxembourg,1996,,50444.3591,76.502,414228,159.5,1.76,7.8
Luxembourg,1997,,46641.6409,76.746,419440,161.5,1.72,5.9
Luxembourg,1998,,47445.3811,76.99,424699,163.5,1.69,7.6
Luxembourg,1999,,50872.4493,77.254,430475,165.8,1.74,5.6
Luxembourg,2000,,48659.5989,77.518,436303,168.2,1.76,7
Luxembourg,2001,,48440.142,77.782,441522,170.4,1.66,6.3
Luxembourg,2002,,53005.7339,78.046,446166,172.2,1.63,5.5
Luxembourg,2003,,65689.3215,78.31,451626,174.3,1.62,5.3
Luxembourg,2004,,76544.9171,78.548,458098,176.8,1.66,4.9
Luxembourg,2005,,80988.1376,78.786,465152,179.5,1.63,5.3
Luxembourg,2006,,90788.8005,79.024,472641,182.4,1.64,3.4
Luxembourg,2007,,107475.3203,79.262,479992,185.3,1.61,2.3
Luxembourg,2008,,120422.1379,79.5,488647,188.7,1.61,2.8
Luxembourg,2009,,109419.747,79.828,497783,192.2,1.59,2.8
Luxembourg,2010,,110885.9914,80.156,506953,195.8,1.62,3.8
Luxembourg,2011,,119025.0572,80.484,518351,200.1,1.54,3.7
Luxembourg,2012,,112584.6763,80.812,530952,204.9,1.57,2.9
Luxembourg,2013,,120000.1407,81.14,543358,209.7,1.55,4.4
Luxembourg,2014,,123678.7021,81.312,556322,214.7,1.5,3.1
Luxembourg,2015,,105462.0126,81.484,569605,219.8,1.46,2.5
Luxembourg,2016,,106899.2935,81.656,583459,225.2,1.41,3.8
Luxembourg,2017,,110193.2138,81.828,596337,230.2,1.39,3.1
Luxembourg,2018,,116786.5117,82,607950,234.7,1.38,4.1
Luxembourg,2019,,112621.8213,82.156,620003,239.4,1.35,4.4
