LOCATION,Year,GDP Value,LifeExp Value,Population Value,PopulationDensityAsOf1July(PersonsPerSquareKm),TotalFertilityRate(LiveBirthsPerWoman),InfantMortalityRate(InfantDeathsPer1000LiveBirths),Education Value
Australia,1960,2412.627589,70.61,10275000.0,1.3,3.45,20.1,
Australia,1961,2383.188902,70.7,10508200.0,1.4,3.54,19.8,
Australia,1962,2577.332834,70.79,10700500.0,1.4,3.43,20.3,
Australia,1963,2752.620592,70.88,10906900.0,1.4,3.34,19.5,
Australia,1964,2902.590472,70.872,11121600.0,1.4,3.15,18.7,
Australia,1965,3001.900269,70.864,11340900.0,1.5,2.98,18.5,
Australia,1966,3275.594754,70.856,11599498.0,1.5,2.89,18.2,
Australia,1967,3447.128012,70.848,11799078.0,1.5,2.85,18.0,
Australia,1968,3833.100887,70.84,12008635.0,1.6,2.88,18.0,
Australia,1969,4207.900059,71.024,12263014.0,1.6,2.88,18.5,
Australia,1970,4652.052555,71.208,12507349.0,1.6,2.86,18.6,
Australia,1971,4863.656325,71.392,13067265.0,1.7,2.94,17.8,
Australia,1972,5210.710998,71.576,13303664.0,1.7,2.74,16.6,
Australia,1973,5796.441599,71.76,13504538.0,1.8,2.49,15.7,
Australia,1974,6245.992541,72.126,13722571.0,1.8,2.33,15.8,
Australia,1975,6939.246847,72.492,13892995.0,1.8,2.16,13.8,
Australia,1976,7396.879985,72.858,14033083.0,1.8,2.06,13.6,
Australia,1977,7727.601527,73.224,14192234.0,1.8,2.02,12.4,
Australia,1978,8553.932397,73.59,14359255.0,1.9,1.96,12.2,
Australia,1979,9456.681329,73.89,14515729.0,1.9,1.91,11.1,
Australia,1980,10478.42327,74.19,14695356.0,1.9,1.9,10.6,
Australia,1981,11956.49197,74.49,14923260.0,1.9,1.94,10.4,
Australia,1982,11988.84395,74.79,15184247.0,2.0,1.94,10.1,
Australia,1983,12781.12566,75.09,15393472.0,2.0,1.93,9.7,
Australia,1984,13609.04002,75.31,15579391.0,2.0,1.85,9.4,
Australia,1985,14514.10737,75.53,15788312.0,2.1,1.92,9.8,
Australia,1986,14983.68619,75.75,16018350.0,2.1,1.87,8.8,
Australia,1987,16053.05751,75.97,16263874.0,2.1,1.85,9.0,
Australia,1988,17129.65948,76.19,16532164.0,2.2,1.84,8.2,
Australia,1989,17835.12296,76.49,16814416.0,2.2,1.84,8.5,
Australia,1990,17838.09814,76.79,17065128.0,2.2,1.9,7.9,
Australia,1991,18177.56368,77.09,17284036.0,2.2,1.86,6.9,
Australia,1992,19157.69096,77.39,17478635.0,2.3,1.89,6.9,
Australia,1993,20184.94601,77.69,17634808.0,2.3,1.87,6.0,
Australia,1994,21432.77545,77.92,17805468.0,2.3,1.85,6.0,
Australia,1995,22442.31684,78.15,18004882.0,2.3,1.83,5.7,
Australia,1996,23289.40183,78.38,18224767.0,2.4,1.81,5.7,
Australia,1997,24477.4138,78.61,18423037.0,2.4,1.79,5.5,
Australia,1998,25708.26383,78.84,18607584.0,2.4,1.77,5.0,
Australia,1999,27139.2482,79.14,18812264.0,2.4,1.77,5.7,34.140335
Australia,2000,28312.85944,79.44,19028802.0,2.5,1.77,5.1,
Australia,2001,29546.41501,79.74,19274701.0,2.5,1.75,5.1,35.707539
Australia,2002,30807.51408,80.04,19495210.0,2.5,1.77,5.0,
Australia,2003,32391.48624,80.34,19720737.0,2.6,1.77,4.8,22.836517
Australia,2004,34000.17377,80.568,19932722.0,2.6,1.79,4.7,23.624947
Australia,2005,35659.12549,80.796,20176844.0,2.6,1.84,5.1,24.697142
Australia,2006,37938.79208,81.024,20450966.0,2.7,1.88,4.8,
Australia,2007,39687.44861,81.252,20827622.0,2.7,1.99,4.3,25.702168
Australia,2008,40130.34169,81.48,21249199.0,2.8,2.02,4.3,28.139578
Australia,2009,41672.92375,81.656,21691653.0,2.8,1.97,4.1,28.981586
Australia,2010,42816.42896,81.832,22031750.0,2.9,1.95,4.1,31.372517
Australia,2011,44440.57948,82.008,22340024.0,2.9,1.92,3.8,33.511932
Australia,2012,43884.6356,82.184,22733465.0,3.0,1.93,3.3,35.797337
Australia,2013,47763.2159,82.36,23128129.0,3.0,1.88,3.6,36.322815
Australia,2014,47606.75493,82.528,23475686.0,3.1,1.81,3.4,36.168247
Australia,2015,47226.75975,82.696,23815995.0,3.1,1.81,3.1,38.098312
Australia,2016,50136.79838,82.864,24190907.0,3.2,1.8,3.0,38.804123
Australia,2017,50706.48986,83.032,24594202.0,3.2,1.77,3.3,40.728859
Australia,2018,53025.3869,83.2,24966643.0,3.3,1.79,3.1,41.99683
Australia,2019,52785.25056,83.348,25340217.0,3.3,1.67,3.0,44.778488
Australia,2020,55772.74108,83.496,25655289.0,3.3,1.59,2.9,44.374836
Australia,2021,62095.40433,83.644,25688079.0,3.4,1.6,2.9,44.615528
Australia,2022,70011.35139,83.792,25978935.0,3.4,1.6,2.9,47.231079
Austria,1960,935.4604,68.676,7047539.0,85.4,2.7,37.5,45.745182
Austria,1961,1031.815,69.004,7086299.0,85.9,2.78,33.4,48.13139
Austria,1962,1087.8342,69.332,7129864.0,86.4,2.8,32.9,48.466274
Austria,1963,1167.0005,69.66,7175811.0,86.9,2.82,31.1,49.30521
Austria,1964,1269.4126,69.756,7223801.0,87.5,2.79,29.1,51.989063
Austria,1965,1374.5321,69.852,7270889.0,88.1,2.7,27.6,51.393173
Austria,1966,1486.9686,69.948,7322066.0,88.7,2.66,28.0,52.478458
Austria,1967,1569.6672,70.044,7376998.0,89.4,2.62,26.2,54.614105
Austria,1968,1677.6735,70.14,7415403.0,89.8,2.58,25.2,54.307404
Austria,1969,1825.3861,70.272,7441055.0,90.2,2.48,24.8,55.932438
Austria,1970,2058.7691,70.404,7467086.0,90.5,2.3,24.9,
Austria,1971,2380.9785,70.536,7500482.0,90.9,2.2,25.6,
Austria,1972,2924.0489,70.668,7544201.0,91.4,2.08,24.6,
Austria,1973,3890.7224,70.8,7586115.0,91.9,1.94,23.0,
Austria,1974,4630.7572,71.068,7599038.0,92.1,1.9,23.4,
Austria,1975,5285.6207,71.336,7578903.0,91.8,1.82,20.1,
Austria,1976,5678.3867,71.604,7565525.0,91.7,1.69,17.7,
Austria,1977,6810.6277,71.872,7568430.0,91.7,1.63,16.7,
Austria,1978,8205.469,72.14,7562305.0,91.6,1.6,15.0,
Austria,1979,9793.7653,72.368,7549425.0,91.5,1.6,14.8,
Austria,1980,10869.5465,72.596,7549433.0,91.5,1.65,14.6,
Austria,1981,9385.2491,72.824,7568710.0,91.7,1.67,12.6,
Austria,1982,9410.3473,73.052,7574140.0,91.8,1.66,12.8,
Austria,1983,9537.4074,73.28,7561910.0,91.6,1.56,11.5,
Austria,1984,8991.065,73.624,7561434.0,91.6,1.52,11.3,
Austria,1985,9172.0968,73.968,7564984.0,91.6,1.48,11.0,
Austria,1986,13083.0727,74.312,7569794.0,91.7,1.45,10.2,
Austria,1987,16392.7695,74.656,7574586.0,91.8,1.43,9.8,
Austria,1988,17578.6189,75.0,7585317.0,91.9,1.45,8.1,
Austria,1989,17468.9461,75.23,7619566.0,92.3,1.45,8.3,
Austria,1990,21680.9896,75.46,7677850.0,93.1,1.46,7.9,
Austria,1991,22410.9118,75.69,7754891.0,94.0,1.51,7.6,
Austria,1992,24880.1641,75.92,7840709.0,95.0,1.52,7.5,
Austria,1993,24081.5278,76.15,7905632.0,95.8,1.5,6.5,
Austria,1994,25646.7007,76.426,7936118.0,96.2,1.46,6.2,
Austria,1995,30325.8496,76.702,7948278.0,96.3,1.44,5.3,
Austria,1996,29809.0768,76.978,7959016.0,96.4,1.45,5.1,
Austria,1997,26705.4786,77.254,7968041.0,96.5,1.4,4.5,
Austria,1998,27361.8751,77.53,7976789.0,96.7,1.37,4.8,
Austria,1999,27183.4759,77.808,7992323.0,96.8,1.34,4.2,
Austria,2000,24625.6007,78.086,8011566.0,97.1,1.36,4.8,
Austria,2001,24558.7637,78.364,8042293.0,97.4,1.34,4.8,
Austria,2002,26527.5931,78.642,8082121.0,97.9,1.39,4.2,
Austria,2003,32294.0489,78.92,8118245.0,98.4,1.38,4.4,
Austria,2004,36889.2335,79.162,8169441.0,99.0,1.42,4.5,
Austria,2005,38417.4578,79.404,8225278.0,99.7,1.41,4.2,
Austria,2006,40669.327,79.646,8267948.0,100.2,1.41,3.6,
Austria,2007,46915.3374,79.888,8295189.0,100.5,1.39,3.6,
Austria,2008,51919.9836,80.13,8321541.0,100.8,1.41,3.7,
Austria,2009,48153.324,80.302,8341483.0,101.1,1.4,3.8,
Austria,2010,46903.7616,80.474,8361069.0,101.3,1.44,4.0,
Austria,2011,51442.2762,80.646,8388534.0,101.7,1.43,3.6,
Austria,2012,48564.9173,80.818,8426311.0,102.2,1.44,3.2,
Austria,2013,50731.1273,80.99,8477230.0,102.8,1.44,3.1,
Austria,2014,51786.3772,81.062,8543932.0,103.6,1.46,3.1,
Austria,2015,44195.8176,81.134,8629519.0,104.7,1.49,3.1,
Austria,2016,45307.5879,81.206,8739806.0,105.9,1.53,3.2,
Austria,2017,47429.1585,81.278,8795073.0,106.6,1.52,2.9,
Austria,2018,51466.5566,81.35,8837707.0,107.1,1.48,2.7,
Austria,2019,50070.4033,81.49,8877637.0,107.6,1.47,3.0,
Austria,2020,48809.2269,81.63,8916845.0,107.9,1.44,2.9,
Austria,2021,53637.7057,81.77,8951520.0,108.1,1.47,2.9,
Austria,2022,52131.4467,81.91,9052856.0,108.1,1.47,2.9,
Belgium,1960,1273.6917,69.796,9153490.0,300.8,2.54,30.6,
Belgium,1961,1350.1977,69.964,9183948.0,302.8,2.63,28.2,
Belgium,1962,1438.5232,70.132,9220578.0,304.9,2.6,27.1,
Belgium,1963,1535.0237,70.3,9289770.0,306.8,2.68,27.3,
Belgium,1964,1701.8463,70.382,9378114.0,308.8,2.71,25.4,
Belgium,1965,1835.5948,70.464,9463668.0,310.9,2.61,23.2,
Belgium,1966,1957.6261,70.546,9527808.0,312.6,2.52,24.3,
Belgium,1967,2086.636,70.628,9580991.0,314.3,2.41,22.5,
Belgium,1968,2222.3615,70.71,9618756.0,315.6,2.3,21.3,
Belgium,1969,2458.0818,70.868,9646033.0,316.8,2.27,21.2,
Belgium,1970,2765.891,71.026,9655550.0,318.0,2.25,21.1,
Belgium,1971,3082.928,71.184,9673162.0,319.3,2.21,20.2,
Belgium,1972,3831.6319,71.342,9711115.0,320.4,2.09,18.5,
Belgium,1973,4900.9622,71.5,9741721.0,321.3,1.95,17.1,
Belgium,1974,5733.7981,71.732,9772420.0,322.0,1.83,17.0,
Belgium,1975,6701.3774,71.964,9800700.0,322.5,1.74,15.8,
Belgium,1976,7243.0473,72.196,9818228.0,322.8,1.73,15.4,
Belgium,1977,8426.947,72.428,9830358.0,323.2,1.71,13.6,
Belgium,1978,10289.7684,72.66,9839534.0,323.7,1.7,13.2,
Belgium,1979,11810.6159,72.91,9848382.0,324.1,1.69,12.3,
Belgium,1980,12864.0026,73.16,9859243.0,324.6,1.68,12.2,
Belgium,1981,10622.8025,73.41,9858982.0,325.1,1.67,11.4,
Belgium,1982,9343.8611,73.66,9856303.0,325.6,1.62,11.0,
Belgium,1983,8846.2343,73.91,9855521.0,325.9,1.57,10.4,
Belgium,1984,8457.2688,74.182,9855372.0,326.1,1.54,9.9,
Belgium,1985,8750.8185,74.454,9858309.0,326.3,1.51,9.7,
Belgium,1986,12170.0407,74.726,9861824.0,326.6,1.54,9.7,
Belgium,1987,15135.8523,74.998,9870234.0,327.0,1.54,9.6,
Belgium,1988,16391.0938,75.27,9901665.0,327.6,1.57,9.1,
Belgium,1989,16525.0617,75.496,9937697.0,328.2,1.58,8.6,
Belgium,1990,20600.3753,75.722,9967378.0,328.9,1.62,8.0,
Belgium,1991,21041.6607,75.948,10004486.0,329.8,1.66,8.3,
Belgium,1992,23372.6192,76.174,10045165.0,330.8,1.65,8.1,
Belgium,1993,22283.936,76.4,10084479.0,331.7,1.61,7.9,
Belgium,1994,24208.5548,76.598,10115601.0,332.6,1.56,7.4,
Belgium,1995,28413.8264,76.796,10136814.0,333.4,1.56,6.0,
Belgium,1996,27489.5552,76.994,10156641.0,334.3,1.59,5.3,
Belgium,1997,24820.9381,77.192,10181246.0,335.4,1.6,5.5,
Belgium,1998,25338.4433,77.39,10203012.0,336.5,1.6,5.1,
Belgium,1999,25252.8019,77.588,10226419.0,337.7,1.62,4.9,
Belgium,2000,23098.8865,77.786,10251251.0,339.0,1.66,4.8,
Belgium,2001,23015.0713,77.984,10286571.0,340.5,1.67,4.5,
Belgium,2002,25006.1914,78.182,10332786.0,342.0,1.65,4.4,
Belgium,2003,30655.2093,78.38,10376131.0,343.6,1.67,4.1,
Belgium,2004,35429.4078,78.618,10421136.0,345.3,1.72,3.8,
Belgium,2005,36809.7013,78.856,10478620.0,347.3,1.76,3.7,
Belgium,2006,38705.1068,79.094,10547956.0,349.5,1.8,4.1,
Belgium,2007,44319.1654,79.332,10624835.0,351.9,1.82,4.1,
Belgium,2008,48303.398,79.57,10709108.0,354.3,1.85,3.8,
Belgium,2009,44760.2912,79.76,10796498.0,356.7,1.84,3.5,
Belgium,2010,44184.9464,79.95,10895591.0,359.3,1.86,3.6,
Belgium,2011,47410.5669,80.14,10993609.0,361.8,1.82,3.3,
Belgium,2012,44670.5607,80.33,11067748.0,364.3,1.8,3.7,
Belgium,2013,46757.9519,80.52,11125033.0,366.7,1.76,3.4,
Belgium,2014,47764.0715,80.694,11179778.0,369.1,1.74,3.4,
Belgium,2015,41008.2967,80.868,11238474.0,371.5,1.7,3.2,
Belgium,2016,42012.6227,81.042,11295003.0,373.8,1.68,3.2,
Belgium,2017,44198.4824,81.216,11349081.0,376.0,1.65,3.6,
Belgium,2018,47544.9811,81.39,11403740.0,378.1,1.62,3.7,
Belgium,2019,46641.7117,81.546,11462023.0,380.2,1.59,3.6,
Belgium,2020,45517.9038,81.702,11506938.0,381.9,1.57,3.2,
Belgium,2021,51268.388,81.858,11552615.0,383.5,1.58,3.5,
Belgium,2022,49582.8254,82.014,11640788.0,383.5,1.58,3.5,
Canada,1960,2259.2883,70.728,18256447.0,2.0,3.9,27.7,
Canada,1961,2240.443,70.932,18634666.0,2.0,3.84,27.1,
Canada,1962,2268.5805,71.136,18989309.0,2.0,3.76,27.3,
Canada,1963,2374.4845,71.34,19347231.0,2.1,3.67,26.0,
Canada,1964,2555.1339,71.502,19719595.0,2.1,3.5,24.4,
Canada,1965,2770.3586,71.664,20084314.0,2.2,3.14,22.5,
Canada,1966,3047.0367,71.826,20420867.0,2.2,2.81,22.1,
Canada,1967,3217.1522,71.988,20795138.0,2.2,2.6,21.3,
Canada,1968,3462.6903,72.15,21129417.0,2.3,2.46,20.5,
Canada,1969,3763.934,72.322,21439830.0,2.3,2.4,19.6,
Canada,1970,4135.8215,72.494,21746497.0,2.4,2.33,19.1,
Canada,1971,4535.346,72.666,21962032.0,2.4,2.18,17.3,
Canada,1972,5106.7371,72.838,22218463.0,2.4,2.02,16.9,
Canada,1973,5858.3918,73.01,22491777.0,2.5,1.93,15.4,
Canada,1974,7056.582,73.27,22807969.0,2.5,1.87,15.1,
Canada,1975,7536.8219,73.53,23143275.0,2.5,1.85,14.4,
Canada,1976,8838.6934,73.79,23449808.0,2.6,1.82,13.0,
Canada,1977,8949.1099,74.05,23725843.0,2.6,1.8,12.6,
Canada,1978,9154.7609,74.31,23963203.0,2.6,1.76,12.0,
Canada,1979,10077.2919,74.62,24201544.0,2.7,1.76,11.0,
Canada,1980,11207.9452,74.93,24515667.0,2.7,1.74,10.6,
Canada,1981,12379.0046,75.24,24819915.0,2.7,1.7,9.6,
Canada,1982,12526.959,75.55,25116942.0,2.8,1.69,9.2,
Canada,1983,13476.9738,75.86,25366451.0,2.8,1.68,8.6,
Canada,1984,13930.8445,76.054,25607053.0,2.8,1.68,8.2,
Canada,1985,14170.0482,76.248,25842116.0,2.8,1.67,8.0,
Canada,1986,14521.4825,76.442,26100278.0,2.9,1.66,7.9,
Canada,1987,16377.9054,76.636,26446601.0,2.9,1.65,7.3,
Canada,1988,19012.5592,76.83,26791747.0,2.9,1.69,7.2,
Canada,1989,20795.1725,77.014,27276781.0,3.0,1.76,7.2,
Canada,1990,21526.3477,77.198,27691138.0,3.0,1.81,6.8,
Canada,1991,21846.3002,77.382,28037420.0,3.1,1.73,6.3,
Canada,1992,20949.9333,77.566,28371264.0,3.1,1.72,6.0,
Canada,1993,20186.9885,77.75,28684764.0,3.2,1.7,6.2,
Canada,1994,19997.6237,77.916,29000663.0,3.2,1.7,6.2,
Canada,1995,20678.9504,78.082,29302311.0,3.2,1.68,6.0,
Canada,1996,21296.6344,78.248,29610218.0,3.3,1.64,5.5,
Canada,1997,21901.594,78.414,29905948.0,3.3,1.58,5.4,
Canada,1998,21024.5099,78.58,30155173.0,3.3,1.56,5.2,
Canada,1999,22315.1743,78.802,30401286.0,3.3,1.54,5.2,
Canada,2000,24271.0021,79.024,30685730.0,3.4,1.49,5.1,
Canada,2001,23821.4456,79.246,31020902.0,3.4,1.51,5.3,
Canada,2002,24255.3386,79.468,31360079.0,3.4,1.5,5.4,
Canada,2003,28300.4631,79.69,31644028.0,3.5,1.53,5.3,
Canada,2004,32143.6814,79.904,31940655.0,3.5,1.53,5.2,
Canada,2005,36382.5079,80.118,32243753.0,3.5,1.54,5.4,
Canada,2006,40504.0607,80.332,32571174.0,3.6,1.59,5.1,
Canada,2007,44659.8951,80.546,32889025.0,3.6,1.65,5.2,
Canada,2008,46710.5056,80.76,33247118.0,3.7,1.68,5.1,
Canada,2009,40876.3102,80.966,33628895.0,3.7,1.67,4.9,
Canada,2010,47562.0834,81.172,34004889.0,3.7,1.63,5.0,
Canada,2011,52223.6961,81.378,34339328.0,3.8,1.62,4.9,
Canada,2012,52669.09,81.584,34714222.0,3.8,1.62,4.8,
Canada,2013,52635.175,81.79,35082954.0,3.9,1.59,4.9,
Canada,2014,50955.9983,81.876,35437435.0,3.9,1.59,4.7,
Canada,2015,43596.1355,81.962,35702908.0,3.9,1.55,4.5,
Canada,2016,42315.6037,82.048,36109487.0,4.0,1.54,4.5,
Canada,2017,45129.4293,82.134,36545236.0,4.0,1.54,4.5,
Canada,2018,46547.7952,82.22,37065084.0,4.1,1.5,4.6,
Canada,2019,46374.1528,82.368,37601230.0,4.1,1.45,4.4,
Canada,2020,43349.6779,82.516,38007166.0,4.2,1.46,4.3,
Canada,2021,52358.6216,82.664,38226498.0,4.2,1.46,4.3,30.579226
Canada,2022,54966.4888,82.812,38929902.0,4.2,1.46,4.3,
Czechia,1960,3941.5031,70.5,9659818.0,123.6,2.1,19.9,
Czechia,1961,3941.5031,70.6,9588016.0,124.0,2.11,19.5,
Czechia,1962,3941.5031,69.9,9621808.0,124.3,2.13,21.2,
Czechia,1963,3941.5031,70.4,9668741.0,124.7,2.31,20.9,
Czechia,1964,3941.5031,70.6,9730019.0,125.2,2.34,19.1,
Czechia,1965,3941.5031,70.3,9785102.0,125.7,2.18,23.0,
Czechia,1966,3941.5031,70.5,9826188.0,126.1,2.02,21.6,
Czechia,1967,3941.5031,70.4,9854241.0,126.3,1.91,21.2,31.989466
Czechia,1968,3941.5031,69.9,9877632.0,126.6,1.84,21.5,32.07547
Czechia,1969,3941.5031,69.4,9896695.0,126.7,1.88,22.0,33.21056
Czechia,1970,3941.5031,69.5,9805157.0,126.9,1.92,20.7,34.487045
Czechia,1971,3941.5031,69.7,9830602.0,127.2,2.0,20.5,38.123291
Czechia,1972,3941.5031,70.2,9868379.0,127.6,2.1,20.3,40.448719
Czechia,1973,3941.5031,70.1,9919519.0,128.2,2.31,20.3,42.239132
Czechia,1974,3941.5031,70.2,9994761.0,129.0,2.46,19.6,44.168514
Czechia,1975,3941.5031,70.5,10062366.0,129.9,2.43,19.2,45.555809
Czechia,1976,3941.5031,70.6,10128220.0,130.7,2.39,18.8,46.988796
Czechia,1977,3941.5031,70.6,10189312.0,131.4,2.34,18.4,48.400093
Czechia,1978,3941.5031,70.7,10245686.0,132.1,2.33,16.9,50.856735
Czechia,1979,3941.5031,70.8,10296489.0,132.7,2.27,15.5,51.629013
Czechia,1980,3941.5031,70.3,10326792.0,133.0,2.08,15.8,53.179329
Czechia,1981,3941.5031,70.8,10303208.0,133.2,2.0,15.0,53.197052
Czechia,1982,3941.5031,70.9,10314321.0,133.3,2.0,14.9,53.694931
Czechia,1983,3941.5031,70.6,10322823.0,133.4,1.97,14.3,54.622643
Czechia,1984,3941.5031,70.9,10330481.0,133.4,1.97,14.0,55.674667
Czechia,1985,3941.5031,71.1,10336742.0,133.4,1.95,12.4,55.619267
Czechia,1986,3941.5031,71.1,10340737.0,133.4,1.92,12.2,55.780476
Czechia,1987,3941.5031,71.5,10348834.0,133.4,1.91,11.9,56.169838
Czechia,1988,3941.5031,71.7,10356359.0,133.5,1.92,11.2,56.40131
Czechia,1989,3941.5031,71.8,10362257.0,133.5,1.88,9.8,57.056797
Czechia,1990,3941.5031,71.4,10362740.0,133.4,1.9,11.0,57.603394
Czechia,1991,2896.6091,72.0,10308682.0,133.5,1.86,10.2,57.725277
Czechia,1992,3372.8654,72.3,10317807.0,133.6,1.72,9.7,59.182831
Czechia,1993,3956.201,72.9,10330607.0,133.7,1.66,8.4,60.582603
Czechia,1994,4630.5378,73.1,10336162.0,133.7,1.44,7.4,60.916767
Czechia,1995,5823.975,73.2,10330759.0,133.6,1.28,7.4,61.754246
Czechia,1996,6532.9052,73.8,10315353.0,133.4,1.19,5.9,62.965115
Czechia,1997,6034.5233,73.9,10303642.0,133.1,1.18,5.9,64.386749
Czechia,1998,6489.7103,74.6,10294943.0,132.9,1.16,5.2,66.357666
Czechia,1999,6337.41,74.7,10282784.0,132.8,1.14,4.6,66.970039
Czechia,2000,6028.5826,75.0,10272503.0,132.6,1.16,4.2,
Czechia,2001,6637.1065,75.3,10224192.0,132.5,1.15,4.0,
Czechia,2002,8060.8888,75.4,10200774.0,132.6,1.17,4.2,
Czechia,2003,9818.5685,75.4,10201651.0,132.7,1.18,3.9,
Czechia,2004,11749.8755,75.9,10206923.0,132.9,1.23,3.8,
Czechia,2005,13430.6606,76.2,10234092.0,133.2,1.3,3.5,
Czechia,2006,15261.8088,76.7,10266646.0,133.5,1.34,3.4,
Czechia,2007,18466.5783,76.9,10322689.0,133.9,1.45,3.3,
Czechia,2008,22804.6222,77.2,10429692.0,134.4,1.51,2.9,
Czechia,2009,19861.6974,77.3,10491492.0,135.0,1.51,2.8,
Czechia,2010,19960.0685,77.6,10517247.0,135.5,1.51,2.6,
Czechia,2011,21871.2661,77.8,10496672.0,136.0,1.43,2.6,
Czechia,2012,19870.8012,78.0,10509286.0,136.1,1.45,2.6,
Czechia,2013,20133.1691,78.2,10510719.0,136.2,1.46,2.5,
Czechia,2014,19890.9199,78.8,10524783.0,136.2,1.53,2.4,
Czechia,2015,17829.6983,78.6,10542942.0,136.3,1.57,2.5,
Czechia,2016,18575.232,79.0,10565284.0,136.4,1.63,2.8,
Czechia,2017,20636.2,79.0,10589526.0,136.4,1.68,2.7,
Czechia,2018,23424.4805,79.0,10626430.0,136.5,1.71,2.5,
Czechia,2019,23664.8479,79.2,10669324.0,136.5,1.71,2.5,
Czechia,2020,22992.8794,78.6,10700155.0,136.4,1.71,2.5,
Czechia,2021,26822.5142,77.7,10500850.0,136.1,1.7,2.4,
Czechia,2022,27638.3733,77.7,10759525.0,136.1,1.7,2.4,
Denmark,1960,2487.1361,72.202,4579603.0,108.1,2.54,22.0,
Denmark,1961,2487.1361,72.268,4611690.0,108.8,2.55,21.9,
Denmark,1962,2487.1361,72.334,4647733.0,109.6,2.55,20.1,
Denmark,1963,2487.1361,72.4,4684481.0,110.4,2.66,19.7,
Denmark,1964,2487.1361,72.506,4722074.0,111.3,2.6,18.8,
Denmark,1965,2487.1361,72.612,4759011.0,112.2,2.61,19.0,
Denmark,1966,2487.1361,72.718,4797381.0,113.1,2.62,17.2,
Denmark,1967,2700.7464,72.824,4835358.0,114.0,2.35,15.0,
Denmark,1968,2776.1354,72.93,4864879.0,114.8,2.12,15.7,
Denmark,1969,3151.1332,73.07,4891860.0,115.5,2.0,14.5,
Denmark,1970,3464.4552,73.21,4928748.0,116.1,1.97,14.2,
Denmark,1971,3845.4864,73.35,4963126.0,116.8,2.04,13.9,
Denmark,1972,4654.3045,73.49,4991596.0,117.5,2.03,12.1,
Denmark,1973,6119.3702,73.63,5021862.0,118.1,1.93,11.2,
Denmark,1974,6770.75,73.752,5045298.0,118.7,1.9,10.8,
Denmark,1975,7999.1127,73.874,5059862.0,119.3,1.91,10.4,
Denmark,1976,8787.5534,73.996,5072597.0,119.8,1.75,9.6,
Denmark,1977,9783.8656,74.118,5088420.0,120.2,1.66,8.5,
Denmark,1978,11825.965,74.24,5104248.0,120.5,1.66,8.7,
Denmark,1979,13752.1079,74.28,5116802.0,120.8,1.6,8.5,
Denmark,1980,13883.7845,74.32,5123027.0,120.9,1.54,8.2,
Denmark,1981,12081.8576,74.36,5121572.0,120.9,1.44,7.6,
Denmark,1982,11804.3739,74.4,5117810.0,120.9,1.42,8.1,
Denmark,1983,11857.9029,74.44,5114297.0,120.9,1.38,7.6,
Denmark,1984,11562.9284,74.502,5111619.0,120.8,1.4,7.7,
Denmark,1985,12253.1099,74.564,5113691.0,120.8,1.45,8.0,
Denmark,1986,17201.1065,74.626,5120534.0,120.8,1.48,8.2,
Denmark,1987,21340.6759,74.688,5127024.0,120.8,1.5,8.3,
Denmark,1988,22526.9631,74.75,5129517.0,120.9,1.56,7.8,
Denmark,1989,21901.1296,74.846,5132594.0,121.1,1.62,8.1,
Denmark,1990,26891.6275,74.942,5140939.0,121.4,1.67,7.5,
Denmark,1991,27011.5534,75.038,5154298.0,121.7,1.69,7.3,
Denmark,1992,29569.4971,75.134,5171370.0,122.1,1.76,6.7,
Denmark,1993,27597.8085,75.23,5189377.0,122.5,1.76,5.4,
Denmark,1994,29995.8076,75.412,5204994.0,123.0,1.8,5.6,
Denmark,1995,35351.5758,75.594,5227861.0,123.5,1.8,5.0,
Denmark,1996,35650.8883,75.776,5261503.0,124.0,1.75,5.5,
Denmark,1997,32836.143,75.958,5284220.0,124.5,1.75,5.2,
Denmark,1998,33368.0096,76.14,5301304.0,125.0,1.72,4.6,
Denmark,1999,33440.6031,76.38,5319111.0,125.5,1.74,4.2,
Denmark,2000,30743.3797,76.62,5337344.0,126.0,1.77,5.4,
Denmark,2001,30751.5897,76.86,5355082.0,126.5,1.74,4.8,
Denmark,2002,33228.6339,77.1,5374255.0,126.9,1.73,4.4,
Denmark,2003,40458.9412,77.34,5387174.0,127.3,1.76,4.4,
Denmark,2004,46511.9348,77.588,5401177.0,127.7,1.78,4.3,
Denmark,2005,48799.7442,77.836,5415978.0,128.2,1.8,4.3,
Denmark,2006,52027.1891,78.084,5434567.0,128.7,1.84,3.9,
Denmark,2007,58487.046,78.332,5457415.0,129.3,1.85,3.9,
Denmark,2008,64321.6745,78.58,5489022.0,129.8,1.88,4.0,
Denmark,2009,58163.6385,78.892,5519441.0,130.4,1.84,3.0,
Denmark,2010,58041.3984,79.204,5543819.0,130.9,1.86,3.4,
Denmark,2011,61753.6471,79.516,5566856.0,131.5,1.76,3.4,
Denmark,2012,58507.5081,79.828,5587085.0,132.1,1.73,3.4,
Denmark,2013,61191.1937,80.14,5608784.0,132.7,1.66,3.4,
Denmark,2014,62548.9847,80.248,5639719.0,133.3,1.69,4.0,
Denmark,2015,53254.8564,80.356,5678348.0,133.9,1.72,3.7,
Denmark,2016,54663.9984,80.464,5724456.0,134.6,1.78,3.2,
Denmark,2017,57610.0982,80.572,5760694.0,135.3,1.75,3.7,
Denmark,2018,61591.9289,80.68,5789957.0,136.0,1.73,3.6,
